tx_id,account1,account2,amount,tx_date
1,2007-7577-5180-1127,6475-4909-6188-4654,235,2003-07-24
2,7709-2815-5062-7969,7406-3374-3749-1650,310,2004-08-11
3,4848-5368-3272-3822,6676-3466-8690-2570,194,2015-05-21
4,2403-8911-3065-2293,6877-7441-9342-8209,29760,2010-09-16
5,4394-2936-8081-4824,4308-8741-7237-7873,104,2000-06-13
6,4575-7036-6650-7938,5434-4704-1475-3940,278,2006-12-25
7,4106-8671-4680-5244,3685-2676-1610-9297,14576,2004-06-17
8,4809-4781-3115-8007,2888-2507-3974-5412,1314,2008-03-02
9,9687-8106-5149-3337,1074-7985-4747-1073,583,2003-02-04
10,2478-9649-2640-5614,7684-6930-7569-8830,122,2005-03-26
11,6282-6835-7665-5225,3910-8418-5266-9875,41554,2007-03-27
12,4053-9988-3423-9713,9064-2759-1901-6873,1068,2003-01-21
13,1375-5543-2512-4872,3097-8744-4037-3622,1071,2002-01-25
14,1030-5265-1863-7912,1383-3039-2728-2675,375,2004-11-14
15,2378-7838-6590-5775,5366-5010-5226-8398,656,2006-10-27
16,1405-8310-4903-4815,7919-5284-8612-2259,426,2013-12-26
17,4872-8425-9172-3669,8970-1168-4056-9700,80851,2002-07-28
18,7122-6608-7712-1243,2007-7577-5180-1127,1836,2010-07-17
19,4677-8222-9193-2284,4256-4768-8467-2233,279,2003-08-10
20,4158-2899-9017-9842,1576-8465-8909-7614,689,2012-01-11
21,7709-2815-5062-7969,2478-9649-2640-5614,102573,2008-09-07
22,2389-1109-1217-9650,6208-8216-2075-5017,25994,2003-05-31
23,2648-5118-8519-7511,5550-4271-9814-9680,12883,2007-01-02
24,3705-6553-7181-4663,8085-9582-1243-4673,438,2000-04-15
25,4085-4926-4788-1337,8804-6817-7963-5838,128,2012-04-03
26,1922-1305-7296-2787,8568-9860-7370-6345,1321,2014-09-27
27,1030-8998-6991-4966,1864-7468-1860-3771,187,2004-11-15
28,8223-4445-5171-5212,9918-6928-7086-2434,146,2001-01-14
29,7684-6930-7569-8830,9687-8106-5149-3337,300,2009-03-10
30,9582-4169-4958-9879,9586-1295-6008-4271,530,2015-09-12
31,2707-7467-5888-1265,4308-8741-7237-7873,177,2009-09-12
32,3203-1684-1966-6151,7684-6930-7569-8830,3269,2013-07-02
33,4127-5990-1236-6547,1592-9997-8672-4401,80036,2004-06-15
34,7927-8297-8574-3013,7040-7914-5642-1954,548393,2016-09-25
35,5161-4409-8806-5195,1349-7784-3215-3106,707,2004-01-25
36,2683-4231-6291-1829,6979-9109-9143-4052,2695,2007-04-25
37,6528-7067-7008-1135,6595-6179-5858-4069,258,2000-07-21
38,3899-7421-9861-5513,1375-5543-2512-4872,114,2012-11-27
39,4479-3389-4179-7584,4394-2936-8081-4824,52265,2012-02-10
40,7030-8622-9550-5255,4677-8222-9193-2284,137,2006-01-28
41,6704-6452-2536-3164,8945-6687-3286-9783,1087,2008-10-08
42,2990-7332-9395-6247,1913-9669-3622-8194,498,2010-02-24
43,5436-1102-7743-5341,5265-3174-5714-8050,101668,2003-06-23
44,4137-7604-4430-3532,7358-5663-1260-5203,22522,2014-10-07
45,3986-8941-7313-7853,5721-6703-7934-8891,1056,2006-03-06
46,5266-1204-1077-9564,3685-2676-1610-9297,4410,2006-07-08
47,4799-1949-3241-6415,9788-9787-4071-5802,1210,2010-05-05
48,3800-2899-9112-9993,6399-5413-5220-2697,1557,2016-07-14
